
200 8 13370 19,87248322147651 397 0,45371428571428574 45
200 9 21089 30,848993288590606 462 0,4666666666666667 62
200 10 29465 36,47315436241611 551 0,5466269841269841 92
300 2 537 5,255102040816326 116 0,2572062084257206 0
300 3 2114 11,023569023569024 200 0,3436426116838488 3
300 4 6014 12,755852842809364 279 0,3675889328063241 7
300 5 12636 16,307692307692307 370 0,4157303370786517 16
300 6 21658 21,242424242424242 444 0,42569511025886864 16
300 7 35161 19,24496644295302 504 0,4019138755980861 34
300 8 55602 23,345637583892618 635 0,47924528301886793 56
300 9 81181 52,60942760942761 718 0,4739273927392739 99
300 10 113714 31,983221476510067 810 0,4888352444176222 102
400 2 1426 6,133779264214047 160 0,2702702702702703 0
400 3 5836 10,08695652173913 250 0,3097893432465923 0
400 4 15993 14,34006734006734 384 0,3902439024390244 4
400 5 34163 16,08695652173913 478 0,38704453441295544 27
400 6 60937 20,351170568561873 609 0,41913282863041984 28
400 7 84639 28,614093959731544 702 0,4529032258064516 51
400 8 132973 23,0 841 0,47353603603603606 114
400 9 175371 31,895973154362416 929 0,46081349206349204 91
400 10 254784 42,22895622895623 1029 0,46603260869565216 133
500 2 3173 5,8193979933110365 187 0,2527027027027027 0
500 3 12658 7,97986577181208 330 0,3316582914572864 6
500 4 32542 12,765886287625419 486 0,39036144578313253 5
500 5 62261 16,096989966555185 611 0,4073333333333333 23
500 6 109125 17,268456375838927 744 0,4217687074829932 41
500 7 171725 22,48829431438127 842 0,3990521327014218 55
500 8 288846 21,36454849498328 1029 0,4273255813953488 75
500 9 404986 39,08361204013378 1203 0,47794994040524436 173
500 10 498245 39,23489932885906 1257 0,4510226049515608 144
600 2 6364 5,511705685618729 212 0,2306855277475517 0
600 3 25001 13,25752508361204 416 0,35046335299073295 8
600 4 56917 10,996655518394649 569 0,37857618097139056 13
600 5 113491 21,956521739130434 718 0,38685344827586204 14
600 6 202756 23,558528428093645 892 0,4120092378752887 34
600 7 308648 22,130434782608695 1084 0,4573839662447257 102
600 8 474885 29,08361204013378 1214 0,4351254480286738 113
600 9 572392 41,40468227424749 1399 0,4594417077175698 183
600 10 958364 36,95652173913044 1518 0,43746397694524497 212
700 2 10637 6,608695652173913 252 0,23639774859287055 0
700 3 41803 10,361204013377927 457 0,324113475177305 2
700 4 97652 20,26086956521739 664 0,36868406440866186 8
